,Test,Ct_values,Date,sample_id
623,Normalization factor,27.99,2024-11-06,2
624,Target 1,39.16,2024-11-13,2
625,Target 2,38.6,2024-11-13,2
626,Extraction control,25.15,2024-11-13,2
627,Normalization factor,25.84,2024-11-13,2
628,Target 1,ND,2024-11-20,2
629,Target 2,ND,2024-11-20,2
630,Extraction control,24.38,2024-11-20,2
631,Normalization factor,26.62,2024-11-20,2
632,Target 1,33.56,2024-11-26,2
633,Target 2,34.23,2024-11-26,2
634,Extraction control,23.79,2024-11-26,2
635,Normalization factor,25.23,2024-11-26,2
636,Target 1,37.22,2024-12-04,2
637,Target 2,ND,2024-12-04,2
638,Extraction control,24.31,2024-12-04,2
639,Normalization factor,24.04,2024-12-04,2
640,Target 1,35.94,2023-05-31,3
641,Target 2,ND,2023-05-31,3
642,Extraction control,28.74,2023-05-31,3
643,Normalization factor,23.93,2023-05-31,3
644,Target 1,ND,2023-06-07,3
645,Target 2,ND,2023-06-07,3
646,Extraction control,28.14,2023-06-07,3
647,Normalization factor,24.98,2023-06-07,3
648,Target 1,ND,2023-06-14,3
649,Target 2,ND,2023-06-14,3
650,Extraction control,28.9,2023-06-14,3
651,Normalization factor,23.92,2023-06-14,3
652,Target 1,36.8,2023-06-21,3
653,Target 2,ND,2023-06-21,3
654,Extraction control,28.97,2023-06-21,3
655,Normalization factor,24.25,2023-06-21,3
656,Target 1,ND,2023-06-28,3
657,Target 2,ND,2023-06-28,3
658,Extraction control,27.23,2023-06-28,3
659,Normalization factor,25.17,2023-06-28,3
660,Target 1,ND,2023-07-06,3
661,Target 2,ND,2023-07-06,3
662,Extraction control,29.59,2023-07-06,3
663,Normalization factor,25.82,2023-07-06,3
664,Target 1,ND,2023-07-12,3
665,Target 2,ND,2023-07-12,3
666,Extraction control,27.56,2023-07-12,3
667,Normalization factor,23.53,2023-07-12,3
668,Target 1,36.63,2023-07-19,3
669,Target 2,ND,2023-07-19,3
670,Extraction control,28.27,2023-07-19,3
